Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000234387980967782,-0.00697698813928649,0.0800930918880029,0,0,0,0.692458310054496,0.000997183537585641,-2.07132036008273E-08,-3.4233050311668E-08,0.00155698261079698,-3.30810448839546E-09,0.00109838425270199,0,0,0,0,0,0,package://s2/meshes/base_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://s2/meshes/base_link.STL,,Lnk3.1-1;Lnk3-1;Final-1/Lnk1-2;Final-1/wheel-5;Final-1/wheel-6;Final-1/wheel-1;Final-1/wheel-2;Final-1/Cover-3;Final-1/Cover-2,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,-9.30008088317891E-08,6.32183255932228E-05,2.34841335058911E-08,0,0,0,0.00768922083728109,1.52375181114526E-07,-9.27840469125892E-13,-3.46371650369243E-12,3.55817081441276E-06,-1.81224797982756E-12,3.54428768540674E-06,0,0,0,0,0,0,package://s2/meshes/l1.STL,1,1,1,1,0,0,0,0,0,0,package://s2/meshes/l1.STL,,Final-1/Sft2-1,Coordinate System1,Axis1,j1,revolute,-0.00023776,-0.09187,0.078152,0,0,0,base_link,1,0,0,100,100,-7,7,,,,,,,,
l2,0.00300986957255078,-0.0868389503008905,0.00190271917035976,0,0,0,0.707086398942021,0.0012446245855875,-1.17706427129672E-05,-5.59026422462629E-09,0.0015834098469937,4.68265693427654E-10,0.00124169789321489,0,0,0,0,0,0,package://s2/meshes/l2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/l2.STL,,Final-1/CNL-2;Final-1/Sft2-2;Final-1/Lnk2-1;Final-2/Lnk1-2;Final-2/wheel-5;Final-2/wheel-6;Final-2/wheel-1;Final-2/wheel-2,Coordinate System2,Axis2,j2,revolute,0,-0.025,0,0,0,0,l1,0,0,-1,100,100,-7,7,,,,,,,,
l3,-2.27777575889654E-06,6.31778937628669E-05,2.33684780207022E-08,0,0,0,0.00768922085741838,1.56443101681605E-07,-1.17634852668758E-07,-3.39886306084711E-12,3.55410289385755E-06,-1.931662453994E-12,3.54428768662788E-06,0,0,0,0,0,0,package://s2/meshes/l3.STL,1,1,1,1,0,0,0,0,0,0,package://s2/meshes/l3.STL,,Final-2/Sft2-1,Coordinate System3,Axis3,j3,revolute,0.00615167738184841,-0.177893667299857,0,0,0,0,l2,0.999402625280054,0.0345599852913034,0,100,100,-7,7,,,,,,,,
l4,0.00600921102535792,-0.0866830524957057,0.00190271617698692,0,0,0,0.707086339902103,0.0012458418034607,-2.3443806256821E-05,-5.50394720680134E-09,0.00158219208618835,3.18679074270993E-10,0.0012416972151501,0,0,0,0,0,0,package://s2/meshes/l4.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/l4.STL,,Final-2/CNL-2;Final-2/Sft2-2;Final-2/Lnk2-1;Final-3/Lnk1-2;Final-3/wheel-5;Final-3/wheel-6;Final-3/wheel-1;Final-3/wheel-2,Coordinate System4,Axis4,j4,revolute,0.000863999632282564,-0.0249850656320013,0,0,0,0,l3,0,0,-1,100,100,-7,7,,,,,,,,
l5,-4.4598296490006E-06,6.30614553610576E-05,2.33497702943619E-08,0,0,0,0.0076892208794505,1.68627301327118E-07,-2.34706774662253E-07,-3.32975082140531E-12,3.54191869407188E-06,-2.04815044309769E-12,3.54428768781085E-06,0,0,0,0,0,0,package://s2/meshes/l5.STL,1,1,1,1,0,0,0,0,0,0,package://s2/meshes/l5.STL,,Final-3/Sft2-1,Coordinate System5,Axis5,j5,revolute,0.0122960050505949,-0.177574796240332,0,0,0,0,l4,0.99761121483333,0.0690786800595353,0,100,100,-7,7,,,,,,,,
l6,0.00900137343373282,-0.0864234981702365,0.00190269434190572,0,0,0,0.707087058502178,0.00124786292514188,-3.50051707817033E-05,-5.57600152041487E-09,0.00158017127376804,1.01672327699261E-10,0.00124169622338038,0,0,0,0,0,0,package://s2/meshes/l6.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/l6.STL,,Final-3/CNL-2;Final-3/Sft2-2;Final-3/Lnk2-1;Final-4/Lnk1-2;Final-4/wheel-5;Final-4/wheel-6;Final-4/wheel-1;Final-4/wheel-2,Coordinate System6,Axis6,j6,revolute,0.00172696700148839,-0.0249402803708333,0,0,0,0,l5,0,0,-1,100,100,-7,7,,,,,,,,
l7,-6.63653621674198E-06,6.28690839595825E-05,2.34841427936006E-08,0,0,0,0.00768922083728108,1.88869571586754E-07,-3.50657375760324E-07,-3.25751460827265E-12,3.52167642394053E-06,-2.16105849630301E-12,3.54428768540674E-06,0,0,0,0,0,0,package://s2/meshes/l7.STL,1,1,1,1,0,0,0,0,0,0,package://s2/meshes/l7.STL,,Final-4/Sft2-1,Coordinate System7,Axis7,j7,revolute,0.0184256420741932,-0.177043767792469,0,0,0,0,l6,0.994627908946454,0.103514843113459,0,100,100,-7,7,,,,,,,,
l8,0.0115173506251668,-0.0827314123962982,0.00191470380704411,0,0,0,0.702654051556184,0.00111087348385981,-6.26783338907165E-05,-2.77110307195667E-09,0.00155243888078097,9.93108518936302E-10,0.000999229590005565,0,0,0,0,0,0,package://s2/meshes/l8.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/l8.STL,,Final-4/CNL-2;Final-4/Sft2-2;Final-4/Lnk2-1;Lnk4-1;Lnk3.1-2;wheel-5;wheel-4;wheel-3;wheel-2,Coordinate System8,Axis8,j8,revolute,0.00258787107783648,-0.0248656977236614,0,0,0,0,l7,0,0,-1,100,100,-7,7,,,,,,,,
w5.1,-1.11022302462516E-16,-3.02258218454199E-14,4.5102810375397E-17,0,0,0,0.0110969343557345,1.11072386362244E-06,-2.85211875208284E-21,-6.61744490042422E-24,2.05541073669667E-06,1.05879118406788E-22,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w5.1.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w5.1.STL,,wheel-6,Origin_j5.1,WA5.2,j5.1,revolute,0.046933,-0.083327,-0.060622,-0.52464,0.059931,1.6744,l8,0,1,0,100,100,-7,7,,,,,,,,
w5.2,1.11022302462516E-16,-3.56381590904675E-14,1.38777878078145E-17,0,0,0,0.0110969343557345,1.11072386362244E-06,1.00916034731469E-21,1.98523347012727E-23,2.05541073669667E-06,-2.11758236813575E-22,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w5.2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w5.2.STL,,wheel-1,Origin_j5.2,WA5.1,j5.2,continuous,-0.022399,-0.092975,-0.060622,0.52464,-0.059931,1.6744,l8,0,1,0,100,100,-7,7,,,,,,,,
w4.1,2.22044604925031E-16,0.005,1.38777878078145E-17,0,0,0,0.0110969343557345,1.11072386362244E-06,2.53282703563737E-21,-1.07533479631894E-23,2.05541073669667E-06,2.64697796016969E-22,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w4.1.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w4.1.STL,,Final-4/wheel-4,Origin_j4.1,WA4.1,j4.1,revolute,0.039718,-0.085347,-0.063122,0.52363,-0.010658,-1.4732,l6,0,0,0,100,100,-7,7,,,,,,,,
w4.2,-2.22044604925031E-16,0.00499999999999998,1.73472347597681E-17,0,0,0,0.0110969343557345,1.11072386362244E-06,-1.35657620458697E-21,-1.32348898008484E-23,2.05541073669667E-06,-7.94093388050907E-23,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w4.2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w4.2.STL,,Final-4/wheel-3,Origin_j4.2,WA4.2,j4.2,revolute,-0.029906,-0.092593,-0.058122,-0.52991,0.14706,-1.5527,l6,0,1,0,100,100,-7,7,,,,,,,,
w3.1,-1.11022302462516E-16,0.005,1.38777878078145E-17,0,0,0,0.0110969343557345,1.11072386362244E-06,1.90871926346611E-21,-2.48154183765908E-24,2.05541073669667E-06,3.70576914423756E-22,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w3.1.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w3.1.STL,,Final-3/wheel-4,Origin_j3.1,WA3.2,j3.1,revolute,0.036745,-0.086669,-0.063122,0.52363,-0.010658,-1.5078,l4,0,1,0,100,100,-7,7,,,,,,,,
w3.2,-1.11022302462516E-16,0.00500000000000003,0,0,0,0,0.0110969343557345,1.11072386362244E-06,-2.24331382124381E-21,5.29395592033938E-23,2.05541073669667E-06,-1.32348898008484E-21,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w3.2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w3.2.STL,,Final-3/wheel-3,Origin_j3.2,WA3.1,j3.2,revolute,-0.033088,-0.091504,-0.058122,-0.52991,0.14706,-1.5873,l4,0,1,0,100,100,-7,7,,,,,,,,
w2.1,-5.55111512312578E-17,0.00500000000000002,6.93889390390723E-18,0,0,0,0.0110969343557345,1.11072386362244E-06,1.92733082724855E-21,-1.65436122510606E-24,2.05541073669667E-06,0,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w2.1.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w2.1.STL,,Final-2/wheel-4,Origin_j2.1,WA2.1,j2.1,revolute,0.033727,-0.087887,-0.063122,0.52363,-0.010658,-1.5424,l2,0,0,0,100,100,-7,7,,,,,,,,
w2.2,-5.55111512312578E-17,0.005,0,0,0,0,0.0110969343557345,1.11072386362244E-06,2.58080351116545E-21,-1.32348898008484E-23,2.05541073669667E-06,-1.85288457211878E-22,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w2.2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w2.2.STL,,Final-2/wheel-3,Origin_j2.2,WA2.2,j2.2,revolute,-0.036231,-0.090306,-0.058122,-0.52991,0.14706,-1.6219,l2,0,0,0,100,100,-7,7,,,,,,,,
w1.1,-2.77555756156289E-17,0.005,0,0,0,0,0.0110969343557345,1.11072386362244E-06,-1.0319078141599E-21,-8.27180612553028E-25,2.05541073669667E-06,3.17637355220363E-22,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w1.1.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w1.1.STL,,Final-1/wheel-4,Origin_j1.1,WA1.1,j1.1,revolute,0.030432,-0.0028698,0.01503,0.52363,-0.010658,-1.5769,base_link,0,1,0,100,100,-7,7,,,,,,,,
w1.2,2.77555756156289E-17,0.005,0,0,0,0,0.0110969343557345,1.11072386362244E-06,6.28657265540301E-22,6.61744490042422E-23,2.05541073669667E-06,-2.64697796016969E-23,1.11072386362244E-06,0,0,0,0,0,0,package://s2/meshes/w1.2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://s2/meshes/w1.2.STL,,Final-1/wheel-3,Origin_j1.2,WA1.2,j1.2,revolute,-0.039568,-0.0028698,0.02003,-0.52991,0.14706,-1.6564,base_link,0,0,0,100,100,-7,7,,,,,,,,
